,N_title,N_type,N_description,N_release_year,N_age_certification,N_production_countries,N_runtime,N_seasons,D_title,D_type,D_description,D_release_year,D_rating,D_country,D_duration,IMDBShows_Series_Title,IMDBShows_IMDB_Rating,IMDBMovies.IMDB_Rating,IMDBMovies.Series_Title,TvShowsAndMoviesWithRating_title,TvShowsAndMoviesWithRating_type,TvShowsAndMoviesWithRating_description,TvShowsAndMoviesWithRating_release_year,TvShowsAndMoviesWithRating_age_certification,TvShowsAndMoviesWithRating_productionCountry,TvShowsAndMoviesWithRating_runtime,TvShowsAndMoviesWithRating_production_countries,TvShowsAndMoviesWithRating_available_on,IMDBMovies_Series_Title,IMDBMovies_IMDB_Rating,TvShowsAndMoviesWithRating_imdb_rating
3064,Dead to Me,SHOW,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,2019,TV-MA,['US'],31,2.0,,,,,,,,Dead to Me,8.0,,,Dead to Me,TV Show,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,2019,TV-MA,,2 Seasons,United States,Netflix,,,
3065,Capitani,SHOW,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.",2019,TV-MA,['LU'],29,2.0,,,,,,,,,,,,Capitani,TV Show,"In a Luxembourg village where everyone is keeping secrets, gruff police inspector Luc Capitani investigates the suspicious death of a 15-year-old girl.",2019,TV-MA,,2 Seasons,Luxembourg,Netflix,,,
3066,I Think You Should Leave with Tim Robinson,SHOW,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,2019,TV-MA,['US'],16,3.0,,,,,,,,I Think You Should Leave with Tim Robinson,7.7,,,I Think You Should Leave with Tim Robinson,TV Show,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,2019,TV-MA,,3 Seasons,United States,Netflix,,,
3067,Formula 1: Drive to Survive,SHOW,"Drivers, managers and team owners live life in the fast lane -- both on and off the track -- during one cutthroat season of Formula 1 racing.",2019,TV-MA,['GB'],38,6.0,,,,,,,,Formula 1: Drive to Survive,8.6,,,Formula 1: Drive to Survive,TV Show,"Drivers, managers and team owners live life in the fast lane -- both on and off the track -- during one cutthroat season of Formula 1 racing.",2019,TV-MA,,6 Seasons,United Kingdom,Netflix,,,
3068,The Last Dance,SHOW,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",2020,TV-MA,['US'],50,1.0,,,,,,,,,,,,The Last Dance,TV Show,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",2020,TV-MA,,1 Season,United States,Netflix,,,
3069,Locke & Key,SHOW,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020,TV-14,['US'],48,3.0,,,,,,,,Locke & Key,7.4,,,Locke & Key,TV Show,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020,TV-14,,3 Seasons,United States,Netflix,,,
3070,Outer Banks,SHOW,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020,TV-MA,['US'],49,2.0,,,,,,,,Outer Banks,7.6,,,Outer Banks,TV Show,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020,TV-MA,,2 Seasons,United States,Netflix,,,
3071,Emily in Paris,SHOW,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",2020,TV-MA,['US'],29,2.0,,,,,,,,Emily in Paris,7.1,,,Emily in Paris,TV Show,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",2020,TV-MA,,2 Seasons,United States,Netflix,,,
3072,The Rental,MOVIE,Two couples rent a vacation home for what should be a celebratory weekend get-away.,2020,R,['US'],88,,,,,,,,,,,,,The Rental,Movie,Two couples rent a vacation home for what should be a celebratory weekend get-away.,2020,R,,88 min,United States,Netflix,,,
3073,Unbelievable,SHOW,"A teenager is charged with lying about her rape allegation, but two determined investigative female detectives discover a far more sinister truth.",2019,TV-MA,['US'],48,1.0,,,,,,,,,,,,Unbelievable,TV Show,"A teenager is charged with lying about her rape allegation, but two determined investigative female detectives discover a far more sinister truth.",2019,TV-MA,,1 Season,United States,Netflix,,,
3074,Kingdom,SHOW,"In this zombie thriller set in Korea's medieval Joseon dynasty which has been defeated by corruption and famine, a mysterious rumor of the king’s death spreads, as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil scheme and save his people.",2019,TV-MA,['KR'],48,2.0,,,,,,,,Kingdom,8.4,,,Kingdom,TV Show,"In this zombie thriller set in Korea's medieval Joseon dynasty which has been defeated by corruption and famine, a mysterious rumor of the king’s death spreads, as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil scheme and save his people.",2019,TV-MA,,2 Seasons,"Korea, Republic of",Netflix,,,
3075,I'm Thinking of Ending Things,MOVIE,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,2020,R,['US'],134,,,,,,,,,,,,,I'm Thinking of Ending Things,Movie,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,2020,R,,134 min,United States,Netflix,,,
3076,The Irishman,MOVIE,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",2019,R,['US'],209,,,,,,,,,,,,,The Irishman,Movie,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",2019,R,,209 min,United States,Netflix,The Irishman,7.9,
3077,Blown Away,SHOW,A reality show featuring glass blowers from around the world competing to be the best. One artist is dismissed after each episode/challenge.,2019,TV-PG,['CA'],26,3.0,,,,,,,,,,,,Blown Away,TV Show,A reality show featuring glass blowers from around the world competing to be the best. One artist is dismissed after each episode/challenge.,2019,TV-PG,,3 Seasons,Canada,Netflix,,,
3078,Marianne,SHOW,"When a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing.",2019,TV-MA,['FR'],45,1.0,,,,,,,,Marianne,7.5,,,Marianne,TV Show,"When a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing.",2019,TV-MA,,1 Season,France,Netflix,,,
3079,Space Force,SHOW,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,2020,TV-MA,['US'],30,2.0,,,,,,,,Space Force,6.8,,,Space Force,TV Show,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,2020,TV-MA,,2 Seasons,United States,Netflix,,,
3080,Love on the Spectrum,SHOW,Seven singles take their first steps into the world of dating; this uplifting four-part documentary follows young adults on the autism spectrum as they explore the unpredictable world of love and relationships.,2019,TV-14,['AU'],42,2.0,,,,,,,,,,,,Love on the Spectrum,TV Show,Seven singles take their first steps into the world of dating; this uplifting four-part documentary follows young adults on the autism spectrum as they explore the unpredictable world of love and relationships.,2019,TV-14,,2 Seasons,Australia,Netflix,,,
3081,Never Have I Ever,SHOW,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020,TV-14,['US'],28,4.0,,,,,,,,Never Have I Ever,7.9,,,Never Have I Ever,TV Show,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",2020,TV-14,,4 Seasons,United States,Netflix,,,
3082,Extraction,MOVIE,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",2020,R,['US'],116,,,,,,,,,,,,,Extraction,Movie,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",2020,R,,116 min,United States,Netflix,,,
3083,The Stranger,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,TV-MA,['GB'],45,1.0,,,,,,,,,,,,The Stranger,TV Show,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,TV-MA,,1 Season,United Kingdom,Netflix,,,
3084,My Octopus Teacher,MOVIE,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animal’s trust and they develop a never-before-seen bond between human and wild animal.",2020,,"['ZA', 'GB']",84,,,,,,,,,,,,,My Octopus Teacher,Movie,"After years of swimming every day in the freezing ocean at the tip of Africa, Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animal’s trust and they develop a never-before-seen bond between human and wild animal.",2020,,,84 min,"South Africa, United Kingdom",Netflix,,,
3085,Synchronic,MOVIE,"Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",2019,R,['US'],102,,,,,,,,,,,,,Synchronic,Movie,"Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",2019,R,,102 min,United States,Netflix,,,
3086,The Promised Neverland,SHOW,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage — a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family... never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.",2019,TV-MA,['JP'],23,2.0,,,,,,,,,,,,The Promised Neverland,TV Show,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage — a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family... never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.",2019,TV-MA,,2 Seasons,Japan,Netflix,,,
